0;g1f3 c7c5 g2g3 g7g6 f1g2 f8g7 c2c4 b8c6 b1c3 e7e6 d2d3 g8e7 c1d2 e8g8 a2a3 b7b6 a1b1 c8b7 b2b4 c5b4 a3b4 c6e5 f3h4 b7g2 h4g2 d7d5 f2f4 e5c6 b4b5 c6a5 c4d5 e7d5 c3d5 d8d5 e1g1 a5b7 d1b3 d5d7 f1c1 f8c8 b3a4 b7c5 a4a3 g7f8 a3a1 c5e4 d2e3 f8g7 c1c8 a8c8 a1a6 e4c3 b1e1 c3b5 a6a4 c8c7 g1f2 b5c3 a4d7 c7d7 g2h4 c3d5 h4f3 d5e3 f2e3 d7c7 e1b1 g8f8 d3d4 f8e8 e3d3 e8d8 e2e4 d8c8 b1b3 c8b7 f3e5 f7f6 e5c4 c7d7 c4a5 b7a8 a5c4 d7d8 h2h3 g7f8 d3e3 d8b8 e4e5 f6e5 f4e5 b6b5 c4a5 b5b4 e3e4 b8b5 b3f3 b5a5 f3f8 a8b7 f8f7 b7c8 f7f8 c8c7 f8f7 c7c6 f7e7 b4b3 e7e6 c6d7 e6d6 d7c7 d6f6 b3b2 f6f7 c7b6 f7f6 b6b5 f6f1 a5a1 
0;0.960000 -0.830000 0.630000 -1.010000 1.850000 -1.410000 4.670000 -0.610000 2.340000 -1.810000 1.560000 -1.190000 4.170000 -0.310000 1.080000 -0.790000 0.130000 0.470000 1.050000 -0.810000 1.650000 -0.760000 -1.480000 1.480000 1.110000 0.920000 -0.920000 3.580000 -1.180000 3.630000 -4.140000 3.420000 -2.150000 2.410000 -3.800000 4.190000 -1.300000 1.350000 -1.350000 3.420000 -2.620000 3.430000 -3.780000 4.810000 -1.270000 4.130000 -2.560000 2.560000 -3.360000 3.360000 -7.300000 7.300000 -7.300000 11.140000 -10.270000 11.480000 -9.950000 11.480000 -7.880000 10.860000 -7.760000 9.740000 -6.760000 10.500000 -5.050000 7.210000 -3.420000 6.340000 -5.620000 4.410000 -4.460000 4.280000 -2.720000 3.710000 -2.540000 5.180000 -5.240000 6.200000 -4.180000 5.520000 -3.700000 3.770000 -3.770000 4.370000 -3.020000 5.360000 -3.740000 5.080000 -3.950000 3.880000 -4.030000 3.860000 -1.940000 1.660000 -2.110000 3.310000 -3.310000 3.310000 -3.310000 3.890000 -3.470000 6.810000 -4.670000 6.040000 -4.420000 4.630000 -4.880000 4.880000 -4.880000 3.270000 -0.880000 2.970000 0.640000 4.500000 -0.550000 4.230000 -4.230000 4.300000 0.060000 11.810000 
1;g1f3 g8f6 b2b3 g7g6 c1b2 f8g7 g2g3 e8g8 f1g2 c7c5 c2c4 d7d6 e1g1 e7e5 d2d3 b8c6 b1c3 c8e6 f3d2 d8d7 d2e4 e6h3 e4f6 g7f6 c3d5 f6g7 f2f4 a8e8 f4e5 c6e5 d1d2 h3g2 g1g2 f7f5 h2h3 e5c6 a1e1 c6e7 b2g7 e7d5 g7h6 d5f6 h6f8 e8f8 e2e4 d7c6 g2h2 f5e4 d3e4 g8g7 d2c3 c6a6 e1e2 a6b6 e2f2 b6d8 e4e5 d6e5 c3e5 h7h6 e5c5 h6h5 c5e5 b7b6 b3b4 f8f7 c4c5 b6c5 b4c5 f7f8 c5c6 f8f7 f2f6 f7f6 e5f6 d8f6 f1f2 f6f4 f2f4 
1;1.280000 -0.090000 0.360000 0.720000 0.580000 0.210000 0.420000 1.690000 -0.190000 1.140000 -0.190000 0.510000 -0.040000 -0.120000 1.560000 -0.280000 1.130000 -1.220000 1.000000 -0.640000 1.020000 -0.160000 1.430000 -1.430000 1.480000 -1.480000 1.480000 -0.490000 1.350000 -1.460000 1.800000 -1.320000 17.299999 -1.060000 0.780000 -0.470000 0.910000 -0.200000 1.280000 -2.840000 5.940000 -5.480000 6.900000 -7.240000 11.130000 -9.130000 10.210000 -12.100000 14.590000 -12.960000 13.310000 -10.760000 18.440001 -12.450000 16.830000 -13.700000 16.639999 -11.610000 18.860001 -14.080000 17.910000 -16.580000 15.530000 -12.530000 19.150000 -12.240000 19.820000 -16.650000 20.790001 -19.049999 20.559999 -12.240000 21.379999 -11.510000 14.820000 -8.570000 14.820000 15.700000 18.480000 
2;c2c4 g7g6 g2g3 f8g7 f1g2 g8f6 b1c3 e8g8 d2d3 c7c5 e2e3 b8c6 g1e2 d7d6 e1g1 d8c7 e2f4 c8d7 a1b1 e7e6 a2a3 c6e7 c1d2 d7c6 g2c6 c7c6 d1a4 c6c8 b2b4 b7b6 f2f3 f8d8 f1c1 f6d7 a4d1 d7e5 d1e2 c8b7 c1f1 a8c8 b1b3 b7c6 b4b5 c6b7 e3e4 a7a6 f1b1 a6b5 c3b5 d6d5 c4d5 e6d5 b5c3 d5e4 d3e4 d8d2 
2;1.280000 0.370000 2.520000 0.740000 0.310000 -0.080000 0.790000 -0.140000 1.000000 0.610000 0.280000 -0.150000 -0.120000 0.930000 0.040000 -0.420000 1.140000 0.580000 0.490000 -0.250000 0.850000 -0.380000 1.890000 0.160000 -0.580000 1.350000 -0.750000 2.600000 -0.440000 0.450000 -0.420000 0.950000 -0.460000 1.820000 -1.440000 1.570000 -1.660000 1.710000 -1.270000 1.830000 -2.350000 4.860000 -1.060000 1.570000 -0.670000 0.080000 -0.080000 0.180000 -0.640000 1.620000 -1.280000 2.220000 -2.630000 3.380000 -2.950000 9.160000 
3;c2c4 e7e5 g2g3 g8f6 f1g2 b8c6 b1c3 f8b4 g1f3 e8g8 e1g1 d7d6 d2d3 b4c3 b2c3 e5e4 f3d4 e4d3 e2d3 c6e5 f2f4 e5d7 a1b1 c7c5 d4c2 d7b6 f4f5 d6d5 c4d5 b6d5 b1b3 a7a5 c1d2 a8a7 g3g4 a5a4 b3b2 h7h6 c3c4 d5e7 d2c3 e7c6 c2e3 c6d4 e3d5 a4a3 b2f2 c8d7 c3d4 c5d4 f2f4 d7c6 d5f6 d8f6 d1a1 c6g2 g1g2 f8d8 f4e4 a7a6 f1f2 a6b6 a1c1 b6a6 c1f4 f6d6 f4d6 a6d6 e4e5 d6b6 e5a5 b6a6 a5a6 b7a6 c4c5 d8b8 g2f3 g8f8 c5c6 f8e7 c6c7 b8c8 f2c2 e7d7 c2c4 c8c7 c4c7 d7c7 f3e4 c7c6 e4d4 c6b5 d4c3 g7g6 f5g6 f7g6 h2h4 g6g5 h4g5 h6g5 d3d4 a6a5 c3d3 b5c6 d3e4 c6d6 d4d5 a5a4 e4d4 d6d7 d4e5 d7e7 d5d6 e7d7 e5d5 d7d8 d5e6 d8e8 e6f6 e8d7 f6g5 d7d6 g5f6 d6d5 g4g5 d5d4 g5g6 d4c3 g6g7 
3;1.280000 0.320000 0.000000 0.330000 -0.850000 0.020000 0.010000 -0.530000 0.530000 -0.430000 1.120000 -0.660000 0.200000 0.400000 0.290000 -0.050000 0.540000 -0.470000 0.470000 -0.470000 3.180000 -2.050000 3.210000 -1.100000 4.860000 -2.570000 2.900000 -3.020000 2.240000 -3.010000 3.290000 -2.190000 3.820000 7.250000 11.050000 6.000000 1.640000 -2.540000 2.710000 -1.850000 3.920000 -4.440000 4.440000 -3.720000 3.720000 -2.970000 3.520000 -2.680000 2.760000 -0.590000 1.330000 -0.850000 -0.480000 1.210000 -1.210000 2.120000 -0.010000 1.680000 -0.320000 1.300000 0.000000 1.180000 -0.740000 1.110000 0.820000 1.110000 2.080000 15.700000 3.100000 -1.850000 2.940000 -2.940000 6.060000 -4.930000 9.560000 0.230000 3.590000 -0.500000 6.890000 -3.050000 3.600000 -6.470000 6.470000 -6.470000 7.220000 -2.460000 2.460000 -3.000000 3.580000 -6.350000 8.540000 -6.640000 7.740000 -6.640000 9.020000 -9.690000 7.500000 -6.530000 4.780000 -6.190000 6.190000 -4.990000 6.760000 -5.200000 10.570000 -10.160000 7.140000 -11.510000 9.390000 -11.210000 14.140000 -13.340000 12.440000 -10.200000 13.420000 -10.200000 13.190000 -13.940000 13.940000 -9.740000 10.200000 -9.110000 8.870000 -6.910000 4.420000 -16.820000 19.440001 -18.719999 13.130000 
4;g1f3 g8f6 c2c4 g7g6 b1c3 d7d5 d1a4 c7c6 c4d5 b7b5 a4d4 c6d5 e2e4 b8c6 f1b5 c8d7 b5c6 d7c6 f3e5 c6b7 d4a4 f6d7 e4d5 f8g7 d2d4 f7f6 e5c6 d8c7 e1g1 e8g8 c6e7 g8h8 e7c6 d7b6 a4a5 b6d5 a5c7 d5c7 c6a5 b7a6 f1d1 a8d8 c1e3 c7d5 a5c6 d5e3 f2e3 d8d7 c6b4 a6b7 b4d3 g7h6 g1f2 d7e7 d1e1 f8e8 d3c5 h6e3 e1e3 e7e3 c5b7 e3e7 b7c5 e8b8 b2b3 b8d8 a1d1 f6f5 d4d5 e7e5 b3b4 h8g8 d5d6 g8f7 d6d7 f7e7 c3b5 
4;1.280000 -0.360000 0.360000 -0.550000 2.350000 -0.270000 1.100000 1.160000 0.910000 -0.830000 1.240000 -2.170000 6.650000 -0.540000 6.410000 -4.670000 4.670000 -3.400000 5.210000 -4.670000 6.230000 -5.610000 7.840000 -2.320000 4.640000 -4.380000 8.970000 -2.170000 12.820000 -6.420000 11.670000 -9.810000 11.700000 -7.220000 9.000000 -6.570000 6.570000 -3.940000 8.350000 -8.040000 15.130000 -8.170000 9.870000 -10.000000 10.000000 -8.220000 8.220000 -7.950000 8.120000 -8.150000 8.440000 -5.690000 10.450000 -5.180000 7.070000 -4.700000 5.100000 -5.100000 6.770000 -8.770000 8.960000 -7.900000 15.000000 -12.390000 17.000000 -13.620000 17.150000 -16.379999 18.980000 -16.549999 16.270000 -16.570000 18.410000 -15.430000 19.760000 -16.900000 17.400000 
